,movie_name,movie_tag,movie_country,movie_length,movie_release,movie_rate,movie_summary,movie_director,movie_actor,movie_rank,movie_firtweek_ticket,movie_all_ticket
21,志愿军：存亡之战,剧情-战争,中国大陆 ,144,2024-09-30,97,陈凯歌执导，《志愿军》三部曲第二部《志愿军：存亡之战》将聚焦铁原阻击战。震撼巨制还原铁原硝烟，铁血不灭谱写英雄故事，一场存亡之战，一支英雄铁军！ 抗美援朝战争第五次战役的转移阶段，铁原阻击战正式打响，中国人民志愿军第63军2.5万将士与近5万“联合国军”展开激战。志愿军将士们浴血奋战，终于把敌军打上了谈判桌。 面前，武装到牙齿的敌军步步迫近；身后，是数十万正在转移的主力部队，生死存亡，在此一战。 1个小时，敌军的4500吨炮弹向我军一个师的阵地倾泻而至，12昼夜，步坦炮协同的敌军数次冲锋……志愿军战士们发扬“钉子战术”，把自己变成一根钉子，狠狠地钉在阵地上！暗藏机巧的防御工事，神出鬼没的地道突袭，招招见血的贴身肉搏，“人在阵地在”的誓言响彻铁原战场，63军全体将士一起，在铁原构成了一道冲不破的“铁长城”。,陈凯歌,朱一龙-辛柏青-张子枫-朱亚文,Unknown,78943,120697
22,魔法坏女巫,奇幻-歌舞-爱情,美国 ,160,2024-12-06,87,电影《魔法坏女巫》讲述了奥兹国两位女巫鲜为人知的成长故事。因绿色皮肤而备受误解的艾芙芭（辛西娅·埃里沃 饰）与光彩夺目、野心勃勃的格琳达（阿里安娜·格兰德 饰）在西兹大学结识，性格迥异的二人却建立起了深厚的友谊。然而，随着与奥兹国大巫师的邂逅，她们的友谊走向十字路口，二人面临着截然不同的命运之路。这段奇幻冒险揭示了友谊、力量与自我发现的真谛。,朱浩伟,Ariana Grande-辛西娅·埃里沃-伊桑·斯莱特-乔纳森·贝利,Unknown,830,1533
23,因果报应,剧情-悬疑-动作,印度 ,141,2024-11-29,93,年度悬疑神作，高能复仇爽片！理发师玛哈拉贾大闹警局，悬赏70万要为一个价值300的垃圾桶立案。众人疑惑之际，才发觉玛哈拉贾来警局另有目的……当女儿被恶人残忍迫害，真相与正义似乎无处可寻，憨厚老实的底层父亲只能以身设局，用剃须刀杀出一条复仇血路。永远不要低估一个父亲为女儿复仇的决心！,尼蒂兰·萨米纳坦,维杰·西图帕提-阿努拉格·卡施亚普-玛玛塔·莫汉达斯-Nataraja Subramanian,Unknown,1890,7835
24,孤星计划,谍战-剧情-悬疑,中国大陆 ,105,2024-12-07,89,绝密！！撤离计划被泄露，谁是内鬼？谍战悬疑反转10+次！全员上演谍海计中计！！ 据内部情报，行动计划遭遇泄密导致伤亡惨重，幸存者李一民（王源 饰）被敌方抓获，无法确认其是否叛变。 经查证，李一民曾经的同学丁梦华（张雪迎 饰）、许天平（梁靖康 饰）在行动中与其有过密切接触，二人与敌方也有着秘密联络，目前我方已严密布控，监测二人的行踪。 内鬼是否在他们之中？ 现请示上级：李一民是否可以信任？撤离行动是否继续进行？......,徐展雄,王源-张雪迎-梁靖康-李晨,Unknown,5002,10221
25,哪吒之魔童闹海,喜剧-剧情-动画,中国大陆 ,144,2025-01-29,98,天劫之后，哪吒、敖丙的灵魂虽保住了，但肉身很快会魂飞魄散。太乙真人打算用七色宝莲给二人重塑肉身。但是在重塑肉身的过程中却遇到重重困难，哪吒、敖丙的命运将走向何方？,饺子,吕艳婷-瀚墨-囧森瑟夫-绿绮,1,313135,1427246
26,唐人街探案4,喜剧-悬疑,Unknown,Unknown,,Unknown,主创表示，《唐探4》五年之内上映。,陈思诚,王宝强-刘昊然-刘德华-本尼迪克特·康伯巴奇,Unknown,Unknown,Unknown
27,封神第一部,神话-动作-史诗,中国大陆 ,148,2025-01-13,91,中国国民神话史诗大片，震撼视效燃炸暑期！《封神第一部》讲述商王殷寿勾结狐妖妲己，暴虐无道，引发天谴。昆仑仙人姜子牙携“封神榜”下山，寻找天下共主，以救苍生。西伯侯之子姬发逐渐发现殷寿的本来面目，反出朝歌。各方势力暗流涌动，风云变幻端倪初显……三千年想象成真，恢弘史诗再创新，见证中国神话崛起！,乌尔善,费翔-李雪健-黄渤-于适,Unknown,35790,263649
28,误判,剧情-动作,"中国大陆,中国香港 ",118,2024-12-27,91,根据真实案件改编！一次误判就会摧毁一个家庭，甄子丹化身文武双“拳”检控官为正义鸣冤！ 一起贩毒冤案让被告人面临27年牢狱之灾，曾是干探的检控官霍子豪（甄子丹 饰）凭其敏锐触觉和执着，抽丝剥茧展开调查，明面上的口舌之争，暗地里的殊死搏斗一触即发，最终庭审日在即，霍子豪能否击碎不公，极限翻案？,甄子丹,甄子丹-张智霖-许冠文-吴镇宇,Unknown,3639,27071
29,哈利·波特与死亡圣器（下）,奇幻-冒险,"美国,英国 ",130,2024-11-29,95,《哈利·波特与死亡圣器（下）》是“哈利·波特”系列电影的最后冒险。这部备受期待的电影是大结局两部曲的下部。在史诗般的结局中，魔法世界善恶力量之间的战斗升级为一场全面战争。赌注从未如此之高，没有人是安全的。但随着与伏地魔对决的高潮逐渐临近，哈利·波特可能必须要做出最终的牺牲。 一切都将在这里结束。,大卫·叶茨,丹尼尔·雷德克里夫-艾玛·沃特森-鲁伯特·格林特-海伦娜·伯翰·卡特,Unknown,19160,42918
30,名侦探柯南：百万美元的五棱星,动画-冒险-动作,日本 ,111,2024-08-16,91,怪盗基德的预告信出现在了北海道函馆，斧江财阀的收藏库中。这次基德将要盗走的是，江戸幕府时期新选组副长土方岁三的日本刀。向来追逐奢华宝石的怪盗基德，居然会看上刀？ 此时，被称作西部名侦探的服部平次和柯南一行人，也因为剑道大会来到了函馆，在基德执行预告的当日，平次看穿了基德的伪装并对其穷追不舍！ 同一时间，一具尸体在函馆仓库街被发现，尸体的胸口有一个十字伤口。搜查中，出现了一位被叫做“死之商人”的活跃于亚洲一带的美籍日裔军火商。这个人一直在寻找斧江家初代家主藏在函馆的宝藏。斧江家江戸幕府战争时代深耕军需产业，传说那宝藏是能扭转幕末纷争的强力武器，而这宝藏似乎和基德追逐欲盗取的刀有着千丝万缕的联系。在基德瞄准刀的同时，有一位剑士也在向基德逼近……,永冈智佳,高山南-山崎和佳奈-小山力也-山口胜平,Unknown,11867,28650
31,749局,科幻-冒险-动作-青春,中国大陆 ,123,2024-10-01,80,故事发生在近未来，因为未知神秘生物的出现，导致整个城市面临前所未有的危机。一桩被隐藏多年的秘密计划浮出水面。少年马山被带入749局，进入层层迷宫，开启一程冒险之旅，并在这一旅程中完成了一次自我的成长与救赎。影片既有紧张刺激的神秘元素、又有热血澎湃的动作场面、也展现了热血青春的浪漫情怀。,陆川,王俊凯-苗苗-郑恺-任敏,Unknown,34782,37572
32,大场面,喜剧-灾难,中国大陆 ,101,2024-09-15,84,踩着真雷了怎么办？在线等，挺急的！ 领导踩雷了，随时都会爆的真地雷。是救人还是甩锅？是报警还是甩锅？是排雷还是甩锅？不背锅更要甩锅，不扛雷还要甩锅，一人踩雷，全员崩溃。这颗雷，一定会爆。这个大场面，谁也别想跑……,李季,王天放-马旭东-管乐-酷酷的滕,Unknown,509,1245
33,熊出没·重启未来,动画-喜剧-科幻,中国大陆 ,108,2025-01-29,94,熊大、熊二、光头强意外地和来自未来世界的小亮一起穿越到100年后：世界发生巨大灾变，孢子植物全面侵占，人类在末日中艰难求生，整个地球危在旦夕！而这一切的罪魁祸首竟是……光头强？！ 100年前究竟发生了什么？小亮是敌是友？光头强为何背负恶名？人类命运最终会走向何方？熊强三人组能否穿透这层层迷雾，重启未来？,林永长,张伟-熊大-张秉君,3,41850,78117
34,海洋奇缘2,冒险-喜剧-动画,美国 ,100,2024-11-29,90,接收到来自远古祖先的神秘召唤，作为寻路人的莫阿娜将与半神毛伊以及一群新伙伴们，再度扬帆远航。他们将驶向遥远的大洋洲，深入危机四伏、失落已久的水域，迎接一场前所未有的全新冒险。,小戴维·G·德瑞克,奥丽伊·卡瓦洛-道恩·强森-瑞秋·豪斯,Unknown,4702,11171
35,胜券在握,剧情,中国大陆 ,135,2024-11-15,90,年度讽刺喜剧！看职场爽文，打工人组团斗翻资本！ 科技公司11号员工白胜（邓超 饰），不仅背负百万债务还惨遭公司裁员。已经没什么可以失去的他决定和公司斗一斗，如何才能在公司苟住100天并最终赢回属于自己的800万期权？ 第一步：重返公司。精心准备一个创业骗局，这一次，不做员工要当老板。 第二步：组建自己的团队。队友方方（邓家佳 饰）、哈雷（柯达 饰）、强尼（李乃文 饰）来相助，临时搭起的草台班子也能掀翻公司吗？ 第三步：披荆斩棘。负责裁员的张见（张本煜 饰）多番阻挠，还派来监事周望高（郑云龙 饰）时刻盯着白胜。笑面虎任远劳（喻恩泰 饰）怎么才能为白胜所用？催债的郝大哥（杨皓宇 饰）是阻力还是助力？ 第四步，暂时还没有思路......没关系，很多事装着装着就真成了。 吃瓜暂停，白胜究竟能否拿回800万？11月15日影院见分晓。 ,刘循子墨,邓超-邓家佳-郑云龙-喻恩泰,Unknown,6722,20424
36,鸳鸯楼·惊魂,惊悚-恐怖-悬疑,中国大陆 ,95,2024-10-31,79,恐怖浓度超标！极致沉浸惊悚！闺蜜复仇爽感爆棚！你敢来吗？ 一群心怀鬼胎的人被巨额保金诱惑，住进了阴森“鬼”楼。楼内诡事频发，冥婚拜堂、厉婴啼哭不休、墙上莫名的血脚印，一切宛如噩梦狠狠缠绕众人！沈言（李梦 饰）对男友刘振中（苏小玎 饰）温柔体贴却另有企图，而看似老实的刘振中也藏着秘密。苏杰克（刘迅 饰）、张辰（海陆 饰）与鸳鸯楼“厕所产子”传闻的女主人公封雪晴（赵樱子 饰）三人之间存在一段难以释怀的过往，就连楼内看似普通的保安叶凡（薛元清 饰）也卷入这个恐怖漩涡无法逃脱……头七回魂夜，怨魂归来审判渣男，他们不得不直面自己曾犯下的罪过，一场酣畅淋漓的复仇戏码悄然上演！,王晟赫,李梦-苏小玎-刘迅-海陆,Unknown,2541,13003
37,乔妍的心事,剧情-悬疑,中国大陆 ,112,2024-10-26,80,边陲小镇长大的乔妍（赵丽颖 饰）打拼多年之后成为了一名知名演员，但在重重压力之下，一路走来小心翼翼。随着一条匿名的勒索消息，让一桩尘封往事成为她新的阴影。同时，多年前失联的姐姐（辛芷蕾 饰）突然现身，事情看似巧合，但背后又暗藏更大的危机。 影片改编自张悦然的小说《大乔小乔》。,赵德胤,赵丽颖-辛芷蕾-黄觉-宝石Gem,Unknown,7128,15136
